,Label,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo
131,11630818.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
13,11630818.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
390,11630818.0,B,Misure economiche,4.0,Agevolazioni e contributi
290,11630818.0,D,Comunitа educante,8.0,Formazione
71,11630819.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
109,11630819.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
470,11630819.0,B,Misure economiche,5.0,Benefit e scontistica
253,11630820.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
38,11630820.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
409,11630820.0,B,Misure economiche,5.0,Benefit e scontistica
81,11630821.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
199,11630821.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
254,11630821.0,D,Comunitа educante,8.0,Formazione
9,11630822.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
320,11630822.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
247,11630822.0,C,Informazione e comunicazione,6.0,Comunicazione
333,11630823.0,B,Misure economiche,5.0,Benefit e scontistica
308,11630823.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
193,11630823.0,C,Informazione e comunicazione,6.0,Comunicazione
279,11630823.0,B,Misure economiche,4.0,Agevolazioni e contributi
28,11630823.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
507,11630824.0,C,Informazione e comunicazione,6.0,Comunicazione
113,11630824.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
171,11630824.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
8,11630825.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
