,Label,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo
313,11630747.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
63,11630747.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
500,11630747.0,B,Misure economiche,5.0,Benefit e scontistica
499,11630747.0,D,Comunitа educante,8.0,Formazione
269,11630748.0,D,Comunitа educante,7.0,Ascolto
361,11630748.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
44,11630748.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
282,11630748.0,D,Comunitа educante,8.0,Formazione
218,11630748.0,B,Misure economiche,5.0,Benefit e scontistica
427,11630748.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
452,11630748.0,B,Misure economiche,4.0,Agevolazioni e contributi
360,11630749.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
449,11630749.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
27,11630749.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
362,11630749.0,D,Comunitа educante,8.0,Formazione
300,11630749.0,C,Informazione e comunicazione,6.0,Comunicazione
273,11630750.0,B,Misure economiche,5.0,Benefit e scontistica
428,11630750.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
217,11630750.0,C,Informazione e comunicazione,6.0,Comunicazione
445,11630750.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
14,11630750.0,B,Misure economiche,4.0,Agevolazioni e contributi
492,11630750.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
429,11630750.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
207,11630751.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
4,11630751.0,B,Misure economiche,4.0,Agevolazioni e contributi
329,11630751.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
460,11630751.0,C,Informazione e comunicazione,6.0,Comunicazione
310,11630751.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
242,11630751.0,B,Misure economiche,5.0,Benefit e scontistica
304,11630751.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
397,11630752.0,B,Misure economiche,5.0,Benefit e scontistica
183,11630752.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
21,11630752.0,B,Misure economiche,4.0,Agevolazioni e contributi
331,11630752.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
141,11630752.0,C,Informazione e comunicazione,6.0,Comunicazione
298,11630752.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
432,11630753.0,D,Comunitа educante,8.0,Formazione
206,11630753.0,B,Misure economiche,5.0,Benefit e scontistica
259,11630753.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
88,11630753.0,B,Misure economiche,4.0,Agevolazioni e contributi
189,11630753.0,C,Informazione e comunicazione,6.0,Comunicazione
365,11630753.0,D,Comunitа educante,7.0,Ascolto
271,11630753.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
280,11630754.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
403,11630754.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
139,11630754.0,C,Informazione e comunicazione,6.0,Comunicazione
237,11630754.0,B,Misure economiche,5.0,Benefit e scontistica
220,11630754.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
45,11630754.0,B,Misure economiche,4.0,Agevolazioni e contributi
260,11630755.0,B,Misure economiche,4.0,Agevolazioni e contributi
261,11630756.0,C,Informazione e comunicazione,6.0,Comunicazione
212,11630756.0,B,Misure economiche,4.0,Agevolazioni e contributi
405,11630756.0,B,Misure economiche,5.0,Benefit e scontistica
39,11630757.0,B,Misure economiche,4.0,Agevolazioni e contributi
430,11630757.0,B,Misure economiche,5.0,Benefit e scontistica
197,11630758.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
399,11630758.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
337,11630758.0,C,Informazione e comunicazione,6.0,Comunicazione
506,11630758.0,B,Misure economiche,4.0,Agevolazioni e contributi
339,11630758.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
70,11630758.0,B,Misure economiche,5.0,Benefit e scontistica
117,11630759.0,B,Misure economiche,5.0,Benefit e scontistica
284,11630760.0,D,Comunitа educante,8.0,Formazione
245,11630760.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
296,11630760.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
223,11630760.0,B,Misure economiche,4.0,Agevolazioni e contributi
97,11630760.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
16,11630760.0,B,Misure economiche,5.0,Benefit e scontistica
128,11630760.0,C,Informazione e comunicazione,6.0,Comunicazione
173,11630760.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
186,11630761.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
493,11630761.0,D,Comunitа educante,8.0,Formazione
216,11630761.0,D,Comunitа educante,7.0,Ascolto
146,11630761.0,B,Misure economiche,5.0,Benefit e scontistica
377,11630761.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
47,11630762.0,C,Informazione e comunicazione,6.0,Comunicazione
391,11630762.0,D,Comunitа educante,7.0,Ascolto
6,11630762.0,B,Misure economiche,5.0,Benefit e scontistica
466,11630762.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
150,11630762.0,B,Misure economiche,4.0,Agevolazioni e contributi
94,11630762.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
278,11630763.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
494,11630763.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
17,11630763.0,B,Misure economiche,5.0,Benefit e scontistica
111,11630763.0,B,Misure economiche,4.0,Agevolazioni e contributi
191,11630763.0,C,Informazione e comunicazione,6.0,Comunicazione
275,11630764.0,C,Informazione e comunicazione,6.0,Comunicazione
164,11630764.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
497,11630764.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
348,11630764.0,B,Misure economiche,4.0,Agevolazioni e contributi
496,11630764.0,D,Comunitа educante,8.0,Formazione
180,11630764.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
2,11630764.0,B,Misure economiche,5.0,Benefit e scontistica
211,11630764.0,D,Comunitа educante,7.0,Ascolto
385,11630765.0,D,Comunitа educante,7.0,Ascolto
386,11630765.0,B,Misure economiche,4.0,Agevolazioni e contributi
65,11630765.0,B,Misure economiche,5.0,Benefit e scontistica
472,11630765.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
281,11630765.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
116,11630766.0,B,Misure economiche,5.0,Benefit e scontistica
475,11630766.0,B,Misure economiche,4.0,Agevolazioni e contributi
501,11630766.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
149,11630767.0,B,Misure economiche,4.0,Agevolazioni e contributi
155,11630767.0,C,Informazione e comunicazione,6.0,Comunicazione
324,11630767.0,D,Comunitа educante,7.0,Ascolto
12,11630767.0,B,Misure economiche,5.0,Benefit e scontistica
425,11630767.0,D,Comunitа educante,8.0,Formazione
426,11630767.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
502,11630767.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
156,11630768.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
382,11630768.0,B,Misure economiche,5.0,Benefit e scontistica
503,11630768.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
35,11630768.0,C,Informazione e comunicazione,6.0,Comunicazione
198,11630769.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
170,11630769.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
463,11630769.0,B,Misure economiche,5.0,Benefit e scontistica
1,11630769.0,C,Informazione e comunicazione,6.0,Comunicazione
381,11630769.0,B,Misure economiche,4.0,Agevolazioni e contributi
134,11630770.0,B,Misure economiche,5.0,Benefit e scontistica
352,11630770.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
143,11630770.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
380,11630770.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
294,11630770.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
145,11630770.0,D,Comunitа educante,7.0,Ascolto
0,11630770.0,C,Informazione e comunicazione,6.0,Comunicazione
147,11630770.0,D,Comunitа educante,8.0,Formazione
246,11630770.0,B,Misure economiche,4.0,Agevolazioni e contributi
504,11630771.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
262,11630771.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
96,11630771.0,D,Comunitа educante,8.0,Formazione
205,11630771.0,B,Misure economiche,5.0,Benefit e scontistica
67,11630771.0,C,Informazione e comunicazione,6.0,Comunicazione
162,11630772.0,B,Misure economiche,4.0,Agevolazioni e contributi
43,11630772.0,C,Informazione e comunicazione,6.0,Comunicazione
110,11630772.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
232,11630772.0,D,Comunitа educante,8.0,Formazione
471,11630772.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
422,11630772.0,D,Comunitа educante,7.0,Ascolto
52,11630772.0,B,Misure economiche,5.0,Benefit e scontistica
334,11630772.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
196,11630773.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
24,11630773.0,C,Informazione e comunicazione,6.0,Comunicazione
168,11630773.0,B,Misure economiche,5.0,Benefit e scontistica
201,11630773.0,B,Misure economiche,4.0,Agevolazioni e contributi
464,11630774.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
317,11630774.0,D,Comunitа educante,8.0,Formazione
358,11630774.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
469,11630774.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
318,11630774.0,B,Misure economiche,5.0,Benefit e scontistica
327,11630774.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
80,11630774.0,C,Informazione e comunicazione,6.0,Comunicazione
257,11630775.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
58,11630775.0,B,Misure economiche,5.0,Benefit e scontistica
252,11630775.0,D,Comunitа educante,8.0,Formazione
288,11630775.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
289,11630775.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
72,11630775.0,C,Informazione e comunicazione,6.0,Comunicazione
157,11630775.0,B,Misure economiche,4.0,Agevolazioni e contributi
127,11630775.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
118,11630776.0,B,Misure economiche,5.0,Benefit e scontistica
137,11630776.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
140,11630776.0,D,Comunitа educante,7.0,Ascolto
388,11630776.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
77,11630776.0,D,Comunitа educante,8.0,Formazione
25,11630776.0,C,Informazione e comunicazione,6.0,Comunicazione
184,11630776.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
154,11630776.0,B,Misure economiche,4.0,Agevolazioni e contributi
55,11630777.0,C,Informazione e comunicazione,6.0,Comunicazione
420,11630777.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
340,11630777.0,D,Comunitа educante,8.0,Formazione
389,11630777.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
347,11630777.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
84,11630778.0,D,Comunitа educante,7.0,Ascolto
